"timesstamp,brightness,motion_pixels,mode,fps"
2026-01-10 06: 25: 22,106.21,401,DAY,10.91
2026-01-10 06: 25: 22,106.21,0,DAY,8.36
2026-01-10 06: 25: 23,106.29,38,DAY,13.96
2026-01-10 06: 25: 23,106.38,155,DAY,12.04
2026-01-10 06: 25: 23,106.48,120,DAY,13.59
2026-01-10 06: 25: 23,114.02,9728,DAY,11.28
2026-01-10 06: 25: 23,114.09,0,DAY,11.68
2026-01-10 06: 25: 23,114.52,0,DAY,8.9
2026-01-10 06: 25: 23,114.72,0,DAY,14.37
2026-01-10 06: 25: 23,114.77,0,DAY,8.5
2026-01-10 06: 25: 23,114.77,0,DAY,13.4
2026-01-10 06: 25: 23,114.82,0,DAY,8.96
2026-01-10 06: 25: 23,114.82,0,DAY,9.29
2026-01-10 06: 25: 24,114.87,353,DAY,12.1
2026-01-10 06: 25: 24,114.86,0,DAY,8.36
2026-01-10 06: 25: 24,114.91,0,DAY,11.96
2026-01-10 06: 25: 24,114.97,0,DAY,9.38
2026-01-10 06: 25: 24,115.11,0,DAY,8.43
2026-01-10 06: 25: 24,116.24,0,DAY,11.98
2026-01-10 06: 25: 24,117.2,11,DAY,7.41
2026-01-10 06: 25: 24,117.29,861,DAY,11.68
2026-01-10 06: 25: 24,117.17,171,DAY,12.56
2026-01-10 06: 25: 24,117.17,0,DAY,10.35
2026-01-10 06: 25: 25,117.39,228,DAY,12.56
2026-01-10 06: 25: 25,117.39,0,DAY,12.19
2026-01-10 06: 25: 25,117.4,2366,DAY,10.35
2026-01-10 06: 25: 25,117.62,933,DAY,12.89
2026-01-10 06: 25: 25,117.61,1010,DAY,13.23
2026-01-10 06: 25: 25,117.74,1392,DAY,7.68
2026-01-10 06: 25: 25,117.75,1706,DAY,11.16
2026-01-10 06: 25: 25,117.7,2037,DAY,11.16
2026-01-10 06: 25: 25,120.47,2389,DAY,8.03
2026-01-10 06: 25: 25,120.42,2328,DAY,8.96
2026-01-10 06: 25: 26,120.72,2498,DAY,7.98
2026-01-10 06: 25: 26,120.86,2359,DAY,6.3
2026-01-10 06: 25: 26,121.58,3735,DAY,8.29
